"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Balaenoptera acutorostrata",0,0,0,0,0,1,0,0,0
"Balaenoptera borealis",0,1,0,0,0,0,0,0,0
"Balaenoptera edeni",0,0,0,0,0,1,0,0,0
"Balaenoptera musculus",0,0,0,0,0,1,0,0,0
"Balaenoptera physalus",0,0,0,0,0,1,0,0,0
"Balanidae",0,0,0,0,0,0,0,1,0
"Balistes capriscus",0,0,0,0,0,1,0,0,0
"Balistes vetula",0,0,0,0,0,1,0,0,0
"Bartramia longicauda",0,0,0,0,0,1,0,0,0
"Bassogigas gilli",0,0,0,0,0,1,0,0,0
"Bathyarca",0,1,0,0,0,0,0,0,0
"Bathygadus melanobranchus",0,0,0,0,0,1,0,0,0
"Bathylagus bericoides",0,1,0,0,1,0,0,0,0
"Bathylagus euryops",0,1,0,0,0,0,0,0,0
"Bathynectes longispina",1,0,1,0,1,0,1,0,0
"Bathynectes maravigna",1,0,1,0,1,0,1,0,0
"Bathypolypus",0,0,0,0,0,1,0,0,0
"Bathypterois",0,1,0,0,1,1,0,0,0
"Bathyraja spinicauda",0,0,0,0,0,1,0,0,0
"Bathysaurus ferox",0,0,0,0,0,1,0,0,0
"Bathytroctes microlepis",0,0,0,0,0,1,0,0,0
"Benthodesmus elongatus",0,0,0,0,0,1,0,0,0
"Benthodesmus simonyi",0,0,0,0,0,1,0,0,0
"Beringius turtoni",0,0,0,0,0,1,1,0,0
"Beryx decadactylus",0,0,0,0,0,1,0,0,0
"Bolocera",0,0,0,0,0,1,0,0,0
"Boltenia ovifera",0,0,0,0,0,0,0,1,0
"Boreogadus saida",0,0,0,0,0,1,0,0,0
"Boreomysis",1,0,1,0,1,0,1,0,0
"Boreotrophon",0,0,0,0,0,1,0,0,0
"Borostomias antarcticus",0,0,0,0,0,1,0,0,0
"Botaurus lentiginosus",0,0,0,0,0,1,0,0,0
"Bothus",0,0,0,0,0,1,0,0,0
"Bothus ocellatus",0,0,0,0,0,1,0,0,0
"Branta bernicla",0,0,1,0,0,0,0,0,0
"Branta canadensis",0,0,1,0,0,0,0,0,0
"Branta leucopsis",0,0,1,0,0,0,0,0,0
"Brevoortia tyrannus",0,1,0,0,0,0,0,0,0
"Brisaster fragilis",1,0,0,0,0,0,0,0,0
"Brosme brosme",0,0,0,0,0,1,0,0,0
"Bryozoa",0,0,0,0,0,0,0,1,0
"Bubulcus ibis",0,0,0,0,0,1,0,0,0
"Buccinum",0,0,0,0,0,0,1,0,0
"Bucephala albeola",0,0,0,0,0,1,0,0,0
"Bucephala clangula",0,0,0,0,0,1,0,0,0
"Bucephala islandica",0,0,0,0,0,1,0,0,0
"Bulweria bulwerii",0,0,0,0,0,1,0,0,0
"Buteo jamaicensis",0,0,0,0,0,1,0,0,0
"Buteo lagopus",0,0,0,0,0,1,0,0,0
"Buteo lineatus",0,0,0,0,0,1,0,0,0
"Buteo platypterus",0,0,0,0,0,1,0,0,0
"Butorides virescens",0,0,0,0,0,1,0,0,0
"Caberea ellisii",0,0,0,0,0,0,0,1,0
"Caelorinchus caelorinchus",0,0,0,0,0,1,0,0,0
"Calathura brachiata",0,0,0,1,0,0,0,0,0
"Calidris alba",0,0,0,0,0,1,0,0,0
"Calidris alpina",0,0,0,0,0,1,0,0,0
"Calidris bairdii",0,0,0,0,0,1,0,0,0
"Calidris canutus",0,0,0,0,0,1,0,0,0
"Calidris ferruginea",0,0,0,0,0,1,0,0,0
"Calidris fuscicollis",0,0,0,0,0,1,0,0,0
"Calidris himantopus",0,0,0,0,0,1,0,0,0
"Calidris maritima",0,0,0,0,0,1,0,0,0
"Calidris melanotos",0,0,0,0,0,1,0,0,0
"Calidris minutilla",0,0,0,0,0,1,0,0,0
"Calidris pusilla",0,0,0,0,0,1,0,0,0
"Callionymus",0,0,0,0,0,1,0,0,0
"Calliostoma occidentale",1,0,0,0,0,0,0,0,0
"Calocaris templemani",1,0,0,0,0,0,1,0,0
"Calonectris borealis",0,0,0,0,0,1,0,0,0
"Calonectris diomedea",0,0,0,0,0,1,0,0,0
"Cancer borealis",0,0,0,0,0,1,0,0,0
"Cancer irroratus",0,0,0,0,0,1,0,0,0
"Carcharias taurus",0,0,0,0,0,1,0,0,0
"Cardium",0,0,0,0,0,0,0,1,0
"Careproctus longipinnis",0,0,0,0,0,1,0,0,0
"Careproctus ranula",0,0,0,0,0,1,0,0,0
"Careproctus reinhardti",0,0,0,0,0,1,0,0,0
"Cataetyx laticeps",0,0,0,0,0,1,0,0,0
"Catharacta maccormicki",0,0,0,0,0,1,0,0,0
"Catharacta skua",0,0,0,0,0,1,0,0,0
"Cathartes aura",0,0,0,0,0,0,1,0,0
"Catoptrophorus semipalmatus",0,0,0,0,0,1,0,0,0
"Caudina arenata",0,0,0,0,0,0,0,1,0
"Centropristis striata",0,0,0,0,0,1,0,0,0
"Centroscyllium fabricii",0,0,0,0,0,1,0,0,0
"Centroscymnus coelolepis",0,0,0,0,0,1,0,0,0
"Cepphus grylle",0,0,0,0,0,1,0,0,0
