"","Size"
"Foetorepus agassizi",20.7166665395101
"Fucus distichus",70
"Fucus vesiculosus",70
"Funiculina quadrangularis",210
"Gadus morhua",200
"Gadus ogac",115
"Gaidropsarus",35.5916665395101
"Gasterosteus aculeatus aculeatus",7.22166665395101
"Gennadas",4
"Gersemia fruticosa",10
"Gersemia rubiformis",10
"Globicephala melas",670
"Glycera capitata",15
"Glyptocephalus cynoglossus",60
"Gnathophausia",7
"Gonatus fabricii",38.5
"Gonatus steenstrupi",15
"Gonostomatidae",7.6
"Gorgonocephalus",76
"Grammatostomias dentatus",15.8999996185303
"Grammicolepis brachiusculus",64
"Grampus griseus",380
"Gymnelus viridis",56
"Gymnocanthus tricuspis",30
"Halargyreus johnsonii",56
"Halichoerus grypus",230
"Halichondria panicea",60
"Halieutichthys aculeatus",10
"Halipteris finmarchica",40
"Halosauropsis macrochir",90
"Halosaurus guentheri",60
"Hamingia arctica",5
"Harriotta raleighana",120
"Helicolenus dactylopterus",50
"Heliometra glacialis",6
"Hemithiris psittacea",22.3
"Hemitripterus americanus",64
"Henricia",17.5
"Heteropolypus",2
"Hiatella arctica",5
"Hippasteria phrygiana",34
"Hippocampus erectus",19
"Hippoglossina oblonga",41
"Hippoglossoides platessoides",82.5999984741211
"Hippoglossus hippoglossus",470
"Histioteuthis reversa",20
"Holtbyrnia anomala",25
"Homarus americanus",114
"Homola minima",1.47
"Hoplostethus atlanticus",75
"Hormathia nodosa",10
"Howella brodiei",7.90000009536743
"Howella sherborni",8
"Hyalinoecia tubicola",16.2
"Hyas araneus",8.6
"Hyas coarctatus",6.1
"Hydrolagus affinis",130
"Hymenopenaeus debilis",9
"Hyperia galba",1.2
"Hyperoglyphe perciformis",91
"Hyperoodon ampullatus",980
"Icelus",15.8085714748928
"Ichnopus",1.7
"Idotea",0.4
"Illex illecebrosus",27
"Ilyophis brunneus",58
"Isurus oxyrinchus",445
"Kajikia albida",300
"Keratoisis ornata",0.1
"Kogia breviceps",340
"Laemonema barbatulum",33
"Lagenorhynchus acutus",280
"Lagenorhynchus albirostris",320
"Laminaria digitata",150
"Laminaria longicruris",150
"Lamna nasus",350
"Lampanyctus",11.751621723175
"Larus",52.2
"Leathesia difformis",5
"Lebbeus groenlandicus",5
"Lebbeus microceros",5
"Lebbeus polaris",5
"Lebbeus zebra",5
"Lepidion schmidti",85
"Lepophidium profundorum",27
"Leptagonus decagonus",21
"Leptasterias",7.5
"Leptoclinus maculatus",20
"Leptychaster arcticus",10
"Leucoraja erinacea",54
"Leucoraja ocellata",110
"Limacina",0.64
"Limanda ferruginea",64
"Liopsetta putnami",42.5
"Liparis atlanticus",13
"Liparis coheni",11.8000001907349
"Liparis fabricii",21
"Liparis gibbus",52
"Liparis inquilinus",7.09999990463257
"Liparis liparis liparis",19.5786363048987
"Liparis tunicatus",16
