"aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
159051,"Calidris himantopus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","himantopus"
159052,"Calidris maritima","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","maritima"
159053,"Calidris melanotos","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","melanotos"
159054,"Calidris minutilla","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","minutilla"
159055,"Calidris pusilla","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","pusilla"
137194,"Calonectris diomedea","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Calonectris","diomedea"
159202,"Camptorhynchus labradorius","Animalia","Chordata","Aves","Anseriformes","Anatidae","Camptorhynchus","labradorius"
159073,"Catharacta maccormicki","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Catharacta","maccormicki"
137170,"Catharacta skua","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Catharacta","skua"
159144,"Cathartes aura","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","aura"
159032,"Catoptrophorus semipalmatus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Catoptrophorus","semipalmatus"
137130,"Cepphus grylle","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cepphus","grylle"
158984,"Ceryle alcyon","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Ceryle","alcyon"
159125,"Charadrius melodus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","melodus"
159126,"Charadrius semipalmatus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","semipalmatus"
159127,"Charadrius vociferus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","vociferus"
159204,"Chen caerulescens","Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen","caerulescens"
159086,"Chen rossii","Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen","rossii"
137137,"Chlidonias niger","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","niger"
159372,"Circus cyaneus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Circus","cyaneus"
137071,"Clangula hyemalis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Clangula","hyemalis"
159147,"Coragyps atratus","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Coragyps","atratus"
159388,"Corvus brachyrhynchos","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","brachyrhynchos"
159389,"Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax"
159005,"Coturnicops noveboracensis","Animalia","Chordata","Aves","Gruiformes","Rallidae","Coturnicops","noveboracensis"
159088,"Cygnus columbianus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","columbianus"
159089,"Cygnus cygnus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","cygnus"
159090,"Cygnus olor","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","olor"
137078,"Cystophora cristata","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","cristata"
137115,"Delphinapterus leucas","Animalia","Chordata","Mammalia","Cetartiodactyla","Monodontidae","Delphinapterus","leucas"
137093,"Delphinus capensis","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","capensis"
137094,"Delphinus delphis","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","delphis"
159114,"Egretta caerulea","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","caerulea"
159115,"Egretta garzetta","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","garzetta"
159116,"Egretta thula","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","thula"
159117,"Egretta tricolor","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Egretta","tricolor"
137079,"Erignathus barbatus","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Erignathus","barbatus"
137112,"Eschrichtius robustus","Animalia","Chordata","Mammalia","Cetartiodactyla","Eschrichtiidae","Eschrichtius","robustus"
159023,"Eubalaena glacialis","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena","glacialis"
158975,"Eudocimus albus","Animalia","Chordata","Aves","Ciconiiformes","Threskiornithidae","Eudocimus","albus"
159152,"Falco columbarius","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","columbarius"
159153,"Falco peregrinus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","peregrinus"
159154,"Falco rusticolus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","rusticolus"
159072,"Falco sparverius","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","sparverius"
137095,"Feresa attenuata","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Feresa","attenuata"
137131,"Fratercula arctica","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","arctica"
159007,"Fulica americana","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","americana"
137195,"Fulmarus glacialis","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","glacialis"
158949,"Gallinago gallinago","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","gallinago"
159009,"Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula","chloropus"
137187,"Gavia immer","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","immer"
137188,"Gavia stellata","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","stellata"
137096,"Globicephala macrorhynchus","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","macrorhynchus"
137097,"Globicephala melas","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","melas"
137098,"Grampus griseus","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Grampus","griseus"
159128,"Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","palliatus"
159374,"Haliaeetus leucocephalus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Haliaeetus","leucocephalus"
